,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
401,402,SERSOL [S],0055,0.085,0.090,-0.005,-5.56,"4,200",532,0.080,0.085,"2,400",0.085,0.080,0055
402,403,SYMLIFE [S],1538,s,0.405,0.405,-,-,"4,137",100,0.385,0.405,399,0.410,0.380
403,404,BCMALL [S],0187,0.120,0.125,-0.005,-4.00,"4,073","1,375",0.120,0.125,"2,820",0.125,0.120,0187
404,405,ZELAN [S],2283,s,0.070,0.070,-,-,"3,984","4,427",0.060,0.070,"7,255",0.070,0.060
405,406,AHB [S],7315,s,0.080,0.080,-,-,"3,982",570,0.080,0.085,159,0.085,0.080
406,407,BTECH [S],0011,0.205,0.210,-0.005,-2.38,"3,960","5,510",0.205,0.210,500,0.215,0.205,0011
407,408,HSSEB [S],0185,s,0.660,0.705,-0.045,-6.38,"3,955",547,0.660,0.665,50,0.725,0.655
408,409,PUC-WA [S],0007WA,0.015,0.020,-0.005,-25.00,"3,945","19,410",0.015,0.020,"14,115",0.020,0.015,0007WA
409,410,MQTECH [S],0070,0.020,0.015,+0.005,+33.33,"3,915","56,336",0.015,0.020,"54,395",0.020,0.015,0070
410,411,MKLAND [S],8893,s,0.135,0.140,-0.005,-3.57,"3,867",280,0.135,0.140,"1,549",0.135,0.130
411,412,THPLANT [S],5112,s,0.350,0.360,-0.010,-2.78,"3,749",30,0.350,0.355,246,0.360,0.320
412,413,NIHSIN [S],7215,s,0.120,0.125,-0.005,-4.00,"3,694","5,421",0.115,0.120,"1,593",0.130,0.115
413,414,IDEAL-WB [S],9687WB,s,0.300,0.410,-0.110,-26.83,"3,660",177,0.300,0.340,10,0.365,0.260
414,415,TEOSENG [S],7252,[x]  s,1.040,1.050,-0.010,-0.95,"3,596",407,1.030,1.040,148,1.050,1.010
415,416,3A [S],0012,s,0.820,0.800,+0.020,+2.50,"3,563",82,0.815,0.820,"2,049",0.820,0.775
416,417,PRTASCO-WA [S],5070WA,s,0.055,0.060,-0.005,-8.33,"3,548","4,602",0.050,0.055,25,0.055,0.050
417,418,AISB [S],2682,s,0.200,0.220,-0.020,-9.09,"3,525",195,0.200,0.220,116,0.200,0.200
418,419,ZECON [S],7028,s,0.520,0.550,-0.030,-5.45,"3,476",1,0.520,0.525,50,0.530,0.490
419,420,SIGN-WA [S],7246WA,s,0.020,0.025,-0.005,-20.00,"3,445",260,0.020,0.025,5,0.020,0.020
420,421,DPS-WB [S],7198WB,s,0.035,0.035,-,-,"3,300","3,000",0.030,0.035,"3,275",0.035,0.030
421,422,HEXTAR [S],5151,[c]  s,0.605,0.605,-,-,"3,211","1,780",0.600,0.605,654,0.605,0.600
422,423,M3TECH [S],0017,0.040,0.040,-,-,"3,210","43,369",0.040,0.045,"10,200",0.040,0.040,0017
423,424,NGGB-WA [S],7241WA,s,0.035,0.040,-0.005,-12.50,"3,150",500,0.030,0.035,450,0.035,0.030
424,425,MATRIX [S],5236,[c]  s,1.930,1.940,-0.010,-0.52,"3,128",415,1.920,1.930,68,1.930,1.900
425,426,DPS [S],7198,s,0.080,0.070,+0.010,+14.29,"3,107","2,000",0.070,0.075,700,0.080,0.070
426,427,SEACERA [S],7073,s,0.230,0.230,-,-,"3,102",97,0.225,0.230,"1,332",0.240,0.220
427,428,SCOPE [S],0028,0.165,0.165,-,-,"3,100","1,320",0.160,0.170,146,0.170,0.160,0028
428,429,HIAPTEK-WB [S],5072WB,s,0.030,0.035,-0.005,-14.29,"3,042","8,768",0.030,0.035,"2,002",0.035,0.030
429,430,SCOMIES [S],7045,s,0.190,0.210,-0.020,-9.52,"3,028",150,0.185,0.190,182,0.210,0.190
430,431,ANCOMLB [S],0048,0.055,0.055,-,-,"3,000","7,563",0.055,0.060,"2,280",0.060,0.055,0048
431,432,RGTBHD-WB [S],9954WB,s,0.065,0.065,-,-,"3,000","1,200",0.055,0.065,286,0.065,0.065
432,433,NICE-WB [S],7139WB,s,0.025,0.025,-,-,"2,990","26,565",0.020,0.025,"5,279",0.025,0.025
433,434,OCR-PA [S],7071PA,s,0.020,0.025,-0.005,-20.00,"2,950","149,163",0.020,0.025,"13,552",0.020,0.020
434,435,PUNCAK [S],6807,s,0.245,0.250,-0.005,-2.00,"2,949",71,0.245,0.250,50,0.245,0.245
435,436,PRLEXUS [S],8966,s,0.675,0.710,-0.035,-4.93,"2,852",13,0.675,0.685,10,0.700,0.675
436,437,ANNJOO [S],6556,s,1.030,1.050,-0.020,-1.90,"2,804",428,1.020,1.030,190,1.050,1.010
437,438,ENGTEX [S],5056,s,0.745,0.705,+0.040,+5.67,"2,765",10,0.710,0.745,323,0.745,0.640
438,439,KESM [S],9334,s,8.240,8.640,-0.400,-4.63,"2,765",5,8.160,8.240,39,8.580,7.690
439,440,SMTRACK [S],0169,0.085,0.085,-,-,"2,700",222,0.085,0.090,50,0.085,0.085,0169
440,441,NOVA [S],0201,[c],0.510,0.510,-,-,"2,697","1,063",0.510,0.520,200,0.510,0.505
441,442,LIIHEN [S],7089,s,2.890,2.900,-0.010,-0.34,"2,671",28,2.870,2.890,34,2.890,2.850
442,443,DELEUM [S],5132,[c]  s,0.815,0.835,-0.020,-2.40,"2,670",746,0.815,0.825,100,0.830,0.810
443,444,TNLOGIS [S],8397,s,0.420,0.425,-0.005,-1.18,"2,634",412,0.420,0.425,230,0.420,0.415
444,445,MBL [S],5152,s,1.240,1.330,-0.090,-6.77,"2,631",164,1.240,1.260,109,1.300,1.240
445,446,TITIJYA [S],5239,s,0.280,0.280,-,-,"2,622",328,0.280,0.285,373,0.285,0.275
446,447,UNISEM [S],5005,s,2.050,2.010,+0.040,+1.99,"2,614",196,2.050,2.130,30,2.100,1.980
447,448,TALAMT [S],2259,s,0.030,0.030,-,-,"2,605","212,002",0.025,0.030,"168,164",0.030,0.025
448,449,COMPUGT [S],5037,s,0.020,0.020,-,-,"2,600","157,535",0.015,0.020,"65,458",0.020,0.020
449,450,GRANFLO [S],0056,s,0.245,0.245,-,-,"2,580",600,0.235,0.240,100,0.245,0.210
450,451,GENP [S],2291,s,10.020,10.020,-,-,"2,566",85,10.020,10.100,15,10.360,9.700
451,452,WELLCAL [S],7231,s,1.060,1.080,-0.020,-1.85,"2,523","1,010",1.050,1.070,424,1.080,1.060
452,453,APPASIA-WA [S],0119WA,0.110,0.110,-,-,"2,501","2,050",0.100,0.110,960,0.110,0.105,0119WA
453,454,CHGP-WA [S],7187WA,s,0.100,0.100,-,-,"2,500","7,657",0.100,0.120,"5,200",0.100,0.100
454,455,VERTICE [S],7240,s,0.645,0.700,-0.055,-7.86,"2,455",10,0.640,0.645,51,0.700,0.645
455,456,SYSCORP [S],5173,s,0.180,0.185,-0.005,-2.70,"2,450","1,200",0.175,0.180,459,0.180,0.165
456,457,APPASIA [S],0119,0.170,0.170,-,-,"2,423",553,0.165,0.170,23,0.180,0.165,0119
457,458,N2N-WB [S],0108WB,0.155,0.200,-0.045,-22.50,"2,308",9,0.150,0.170,350,0.155,0.145,0108WB
458,459,CRESBLD [S],8591,s,0.840,0.860,-0.020,-2.33,"2,285",270,0.840,0.845,310,0.855,0.840
459,460,WEGMANS [S],0197,s,0.210,0.215,-0.005,-2.33,"2,273","1,147",0.210,0.230,150,0.215,0.210
460,461,DANCO-WA [S],5276WA,s,0.145,0.175,-0.030,-17.14,"2,222",950,0.145,0.165,77,0.160,0.140
461,462,SIGGAS [S],5181,s,0.425,0.435,-0.010,-2.30,"2,221","4,000",0.420,0.425,6,0.430,0.420
462,463,CHINWEL [S],5007,[c]  s,1.180,1.180,-,-,"2,211",14,1.180,1.190,30,1.200,1.150
463,464,TRC [S],5054,s,0.365,0.370,-0.005,-1.35,"2,210",110,0.365,0.370,84,0.370,0.360
464,465,OKA [S],7140,[c]  s,0.690,0.685,+0.005,+0.73,"2,209",91,0.690,0.695,110,0.690,0.665
465,466,LEESK [S],8079,[c]  s,0.570,0.580,-0.010,-1.72,"2,207",135,0.545,0.560,40,0.575,0.455
466,467,DEGEM [S],7119,s,1.090,1.080,+0.010,+0.93,"2,141","3,960",1.080,1.090,"1,475",1.090,1.080
467,468,GESHEN [S],7197,s,0.430,0.400,+0.030,+7.50,"2,093",50,0.425,0.430,120,0.430,0.405
468,469,CARING [S],5245,s,2.580,2.580,-,-,"2,068","7,355",2.570,2.590,628,2.590,2.570
469,470,EKA [S],7182,s,0.040,0.035,+0.005,+14.29,"2,050","23,500",0.035,0.050,"4,450",0.040,0.040
470,471,ASDION [S],0068,0.095,0.090,+0.005,+5.56,"2,048",456,0.090,0.095,238,0.095,0.080,0068
471,472,AMVERTON [S],5959,s,1.200,1.200,-,-,"2,034",866,1.200,1.220,191,1.200,1.200
472,473,TANCO [S],2429,s,0.040,0.045,-0.005,-11.11,"2,023","15,551",0.035,0.040,27,0.040,0.040
473,474,INIX [S],0094,0.035,0.040,-0.005,-12.50,"2,020","48,646",0.035,0.040,"6,691",0.040,0.035,0094
474,475,MCLEAN-WB [S],0167WB,0.080,0.080,-,-,"2,009","3,000",0.070,0.080,11,0.080,0.065,0167WB
475,476,LFECORP [S],7170,s,0.170,0.165,+0.005,+3.03,"2,000","1,050",0.160,0.170,960,0.170,0.170
476,477,OCR-WD [S],7071WD,s,0.045,0.045,-,-,"2,000","5,500",0.040,0.045,"1,000",0.045,0.045
477,478,PASUKGB [S],0177,0.020,0.020,-,-,"2,000","6,098",0.020,0.025,"4,872",0.020,0.020,0177
478,479,SMI [S],4375,s,0.120,0.130,-0.010,-7.69,"1,955","5,540",0.120,0.130,605,0.130,0.120
479,480,KAWAN [S],7216,s,1.320,1.260,+0.060,+4.76,"1,899",200,1.300,1.350,70,1.320,1.250
480,481,F&N [S],3689,s,31.000,30.720,+0.280,+0.91,"1,891",55,31.000,31.080,14,31.700,30.500
481,482,CJCEN [S],7117,s,0.345,0.360,-0.015,-4.17,"1,865",885,0.345,0.350,63,0.350,0.345
482,483,POHUAT [S],7088,[c]  s,1.280,1.300,-0.020,-1.54,"1,842",65,1.270,1.280,180,1.280,1.260
483,484,DBHD-WA [S],3484WA,s,0.015,0.015,-,-,"1,808","2,092",0.015,0.020,24,0.020,0.015
484,485,TOMYPAK [S],7285,s,0.470,0.465,+0.005,+1.08,"1,719","2,098",0.465,0.470,"1,497",0.470,0.455
485,486,SWSCAP-WB [S],7186WB,s,0.060,0.060,-,-,"1,710","1,380",0.045,0.060,960,0.060,0.045
486,487,TASHIN [S],0211,0.215,0.210,+0.005,+2.38,"1,703","1,474",0.210,0.215,63,0.215,0.210,0211
487,488,SLP [S],7248,[c]  s,1.000,1.020,-0.020,-1.96,"1,700",68,1.000,1.080,24,1.050,1.000
488,489,PWROOT [S],7237,[c]  s,2.190,2.230,-0.040,-1.79,"1,698",815,2.190,2.200,52,2.220,2.180
489,490,CCM [S],2879,[c]  s,1.020,1.070,-0.050,-4.67,"1,681",369,1.020,1.060,299,1.070,1.020
490,491,MGRC [S],0155,0.185,0.205,-0.020,-9.76,"1,672",878,0.185,0.200,"1,017",0.205,0.185,0155
491,492,SUPERLN [S],7235,s,0.795,0.785,+0.010,+1.27,"1,666",43,0.795,0.800,122,0.800,0.765
492,493,CEPAT [S],8982,s,0.515,0.510,+0.005,+0.98,"1,656",274,0.515,0.520,9,0.525,0.505
493,494,BIMB [S],5258,s,3.730,3.780,-0.050,-1.32,"1,651",60,3.700,3.730,222,3.780,3.690
494,495,SINOTOP [S],8532,s,0.120,0.110,+0.010,+9.09,"1,632",20,0.115,0.120,170,0.125,0.100
495,496,PETRONM [S],3042,s,4.420,4.590,-0.170,-3.70,"1,615",2,4.410,4.430,6,4.600,4.350
496,497,SPSETIA-PB [S],8664PB,s,0.820,0.820,-,-,"1,609","1,252",0.815,0.820,30,0.820,0.815
497,498,NADIBHD [S],0206,[c],0.250,0.250,-,-,"1,581","8,275",0.245,0.250,"2,294",0.250,0.245
498,499,ARANK [S],7214,s,0.465,0.475,-0.010,-2.11,"1,558",482,0.460,0.470,202,0.470,0.460
499,500,WEGMANS-WA [S],0197WA,s,0.055,0.060,-0.005,-8.33,"1,558","1,523",0.055,0.075,453,0.060,0.055
500,501,MKH [S],6114,s,1.370,1.380,-0.010,-0.72,"1,548",167,1.370,1.380,100,1.380,1.340
501,502,KPPROP [S],7077,s,0.785,0.770,+0.015,+1.95,"1,534",106,0.785,0.790,50,0.785,0.755
502,503,LITRAK [S],6645,[c]  s,4.510,4.500,+0.010,+0.22,"1,513",3,4.510,4.600,20,4.510,4.480
503,504,MFCB-WA [S],3069WA,s,2.770,2.880,-0.110,-3.82,"1,506",20,2.750,2.770,55,2.900,2.600
504,505,PDZ-WB [S],6254WB,s,0.005,0.005,-,-,"1,500",-,-,0.005,"29,257",0.005,0.005
505,506,NTPM [S],5066,s,0.485,0.485,-,-,"1,411",106,0.480,0.485,296,0.490,0.480
506,507,SCOPE-WA [S],0028WA,0.015,0.015,-,-,"1,401","1,550",0.010,0.015,980,0.015,0.010,0028WA
507,508,EMETALL [S],7217,s,0.320,0.325,-0.005,-1.54,"1,364",399,0.320,0.325,200,0.340,0.320
508,509,GASMSIA [S],5209,[c]  s,2.800,2.800,-,-,"1,364","1,206",2.800,2.810,74,2.800,2.790
509,510,MMAG [S],0034,0.280,0.295,-0.015,-5.08,"1,350",500,0.275,0.290,"1,000",0.280,0.280,0034
510,511,PENERGY [S],5133,[c]  s,1.100,1.060,+0.040,+3.77,"1,334",163,1.080,1.100,156,1.100,1.060
511,512,FAJAR [S],7047,s,0.340,0.335,+0.005,+1.49,"1,314",936,0.335,0.340,4,0.340,0.335
512,513,APM [S],5015,s,1.960,2.000,-0.040,-2.00,"1,287",26,1.960,1.970,52,2.000,1.950
513,514,PRESTAR [S],9873,s,0.370,0.375,-0.005,-1.33,"1,286",250,0.365,0.375,275,0.370,0.360
514,515,ACOSTEC [S],7120,s,0.325,0.340,-0.015,-4.41,"1,285",250,0.320,0.335,300,0.340,0.325
515,516,HSPLANT [S],5138,[c]  s,1.540,1.600,-0.060,-3.75,"1,285",1,1.540,1.580,20,1.590,1.530
516,517,MTRONIC-WA [S],0043WA,s,0.010,0.010,-,-,"1,272","798,564",0.005,0.010,"24,862",0.010,0.005
517,518,TOYOINK [S],7173,s,0.650,0.660,-0.010,-1.52,"1,270",200,0.645,0.650,120,0.660,0.640
518,519,AWC-WA [S],7579WA,s,0.095,0.100,-0.005,-5.00,"1,237",300,0.090,0.095,"1,132",0.100,0.085
519,520,NICE [S],7139,s,0.055,0.055,-,-,"1,220","10,751",0.045,0.055,"4,104",0.055,0.050
520,521,WTK [S],4243,s,0.430,0.435,-0.005,-1.15,"1,219",32,0.430,0.440,281,0.435,0.420
521,522,BORNOIL-WD [S],7036WD,s,0.020,0.015,+0.005,+33.33,"1,187",408,0.015,0.020,"57,614",0.020,0.015
522,523,MYCRON [S],5087,s,0.290,0.315,-0.025,-7.94,"1,182",118,0.290,0.300,170,0.300,0.290
523,524,DWL-WA [S],7165WA,s,0.090,0.085,+0.005,+5.88,"1,164",21,0.080,0.090,496,0.090,0.070
524,525,MSC [S],5916,s,0.790,0.795,-0.005,-0.63,"1,164",411,0.790,0.795,100,0.790,0.790
525,526,CONNECT-WB [S],0102WB,0.035,0.020,+0.015,+75.00,"1,162",570,0.020,0.035,448,0.035,0.025,0102WB
526,527,LTKM [S],7085,[c]  s,1.320,1.330,-0.010,-0.75,"1,161",35,1.320,1.330,80,1.340,1.320
527,528,KERJAYA [S],7161,s,1.240,1.250,-0.010,-0.80,"1,143",100,1.210,1.240,263,1.250,1.170
528,529,KIMLUN [S],5171,s,1.010,1.020,-0.010,-0.98,"1,143",92,1.000,1.020,5,1.020,1.000
529,530,MINHO [S],5576,s,0.260,0.260,-,-,"1,140",111,0.260,0.275,"1,000",0.260,0.250
530,531,HPMT [S],5291,[c]  s,0.385,0.390,-0.005,-1.28,"1,129",1,0.385,0.390,"1,150",0.385,0.380
