,NO,NAME,CODE,REM,LAST_DONE,LACP,CHG,%CHG,VOL('00),BUY_VOL('00),BUY,SELL,SEL_VOL('00),HIGH,LOW
568,569,HARNLEN [S],7501,s,0.530,0.455,+0.075,+16.48,755,200,0.460,0.530,240,0.530,0.455
569,570,HLIND [S],3301,s,9.200,9.300,-0.100,-1.08,754,11,9.150,9.200,31,9.300,9.000
570,571,TPC-WA [S],7176WA,s,0.075,0.120,-0.045,-37.50,751,500,0.065,0.075,99,0.075,0.065
571,572,LEWEKO [S],8745,s,0.180,0.180,-,-,750,4,0.175,0.180,796,0.180,0.170
572,573,KSL [S],5038,s,0.710,0.710,-,-,748,100,0.705,0.710,531,0.710,0.700
573,574,APB [S],5568,s,0.455,0.460,-0.005,-1.09,740,116,0.455,0.580,100,0.460,0.455
574,575,PECCA [S],5271,s,1.010,1.000,+0.010,+1.00,738,"2,132",1.000,1.010,100,1.030,1.000
575,576,ECOFIRS [S],3557,s,0.380,0.385,-0.005,-1.30,716,584,0.370,0.380,607,0.380,0.370
576,577,KHJB [S],0210,[c],0.235,0.245,-0.010,-4.08,695,"1,536",0.235,0.245,40,0.240,0.235
577,578,MAGNA [S],7617,s,0.825,0.795,+0.030,+3.77,689,20,0.820,0.825,40,0.825,0.815
578,579,ARK [S],7007,s,0.190,0.190,-,-,672,30,0.180,0.190,100,0.190,0.175
579,580,SEAL [S],4286,s,0.290,0.290,-,-,671,150,0.285,0.290,299,0.290,0.280
580,581,MYETFID [S],0824EA,[c]  s,1.145,1.140,+0.005,+0.44,667,330,1.110,1.140,330,1.145,1.140
581,582,JAYCORP [S],7152,s,0.985,0.990,-0.005,-0.51,664,11,0.970,0.985,70,0.985,0.965
582,583,HUAYANG [S],5062,s,0.310,0.310,-,-,660,200,0.305,0.310,1,0.320,0.310
583,584,WZSATU-WA [S],7245WA,s,0.095,0.090,+0.005,+5.56,660,700,0.085,0.095,270,0.095,0.085
584,585,YNHPROP [S],3158,s,2.680,2.630,+0.050,+1.90,654,5,2.620,2.680,68,2.680,2.620
585,586,MBL-WA [S],5152WA,s,0.460,0.490,-0.030,-6.12,650,390,0.445,0.470,130,0.470,0.430
586,587,SWKPLNT [S],5135,s,1.550,1.640,-0.090,-5.49,639,3,1.550,1.620,50,1.660,1.550
587,588,SWSCAP [S],7186,s,0.510,0.510,-,-,630,139,0.500,0.510,206,0.520,0.500
588,589,IQGROUP [S],5107,s,0.520,0.530,-0.010,-1.89,614,500,0.475,0.520,220,0.520,0.460
589,590,AEM [S],7146,s,0.090,0.080,+0.010,+12.50,600,900,0.080,0.090,400,0.090,0.085
590,591,EDARAN [S],5036,s,0.390,0.370,+0.020,+5.41,599,409,0.365,0.390,345,0.390,0.355
591,592,ECOHLDS [S],0059,s,0.170,0.170,-,-,576,6,0.160,0.170,78,0.170,0.160
592,593,COMPLET [S],5136,s,0.660,0.695,-0.035,-5.04,558,100,0.650,0.660,510,0.695,0.660
593,594,MPI [S],3867,s,10.800,10.920,-0.120,-1.10,551,14,10.700,10.900,7,10.800,10.320
594,595,MTDACPI [S],5924,s,0.140,0.140,-,-,546,54,0.140,0.145,114,0.140,0.135
595,596,INCKEN [S],2607,s,0.590,0.595,-0.005,-0.84,531,20,0.585,0.590,890,0.595,0.585
596,597,BOILERM [S],0168,s,0.550,0.560,-0.010,-1.79,530,"1,018",0.540,0.550,64,0.550,0.545
597,598,KAMDAR [S],8672,s,0.250,0.280,-0.030,-10.71,521,200,0.260,0.300,100,0.250,0.250
598,599,SAM [S],9822,s,7.690,7.500,+0.190,+2.53,515,28,7.660,7.690,1,7.690,7.480
599,600,PGLOBE [S],3611,s,0.970,0.930,+0.040,+4.30,510,100,0.900,0.970,500,0.970,0.900
600,601,SAPNRG-PA [S],5218PA,s,0.160,0.200,-0.040,-20.00,505,46,0.160,0.185,40,0.165,0.160
601,602,TPC [S],7176,s,0.255,0.290,-0.035,-12.07,502,300,0.240,0.255,8,0.265,0.210
602,603,GOB [S],1147,s,0.195,0.200,-0.005,-2.50,500,"1,700",0.195,0.200,"1,205",0.200,0.195
603,604,MERIDIAN-WA [S],5040WA,s,0.025,0.015,+0.010,+66.67,500,"1,001",0.010,0.025,949,0.025,0.010
604,605,MERIDIAN-WC [S],5040WC,s,0.010,0.010,-,-,500,"61,912",0.005,0.010,"9,000",0.010,0.010
605,606,PRIVA [S],0123,0.040,0.040,-,-,500,"4,528",0.035,0.040,"1,668",0.040,0.040,0123
606,607,SDRED [S],2224,s,0.545,0.560,-0.015,-2.68,490,292,0.545,0.560,380,0.550,0.545
607,608,HARBOUR [S],2062,s,0.600,0.595,+0.005,+0.84,482,50,0.600,0.620,112,0.600,0.590
608,609,CHOOBEE [S],5797,s,1.160,1.180,-0.020,-1.69,480,1,1.130,1.160,234,1.160,1.100
609,610,BTM [S],7188,s,0.100,0.105,-0.005,-4.76,478,152,0.100,0.115,110,0.100,0.100
610,611,MIKROMB [S],0112,0.190,0.205,-0.015,-7.32,473,265,0.190,0.195,807,0.205,0.185,0112
611,612,PBA [S],5041,s,1.000,1.030,-0.030,-2.91,471,199,1.000,1.010,63,1.030,1.000
612,613,CAELY-WA [S],7154WA,s,0.155,0.155,-,-,470,"1,140",0.150,0.170,600,0.155,0.150
613,614,DAIBOCI-WB [S],8125WB,s,0.485,0.480,+0.005,+1.04,470,300,0.465,0.485,245,0.485,0.420
614,615,PINEPAC [S],1902,s,0.295,0.315,-0.020,-6.35,469,201,0.295,0.305,227,0.305,0.295
615,616,MITRA-WE [S],9571WE,s,0.060,0.055,+0.005,+9.09,455,934,0.045,0.060,260,0.060,0.045
616,617,MCEMENT [S],3794,s,3.300,3.220,+0.080,+2.48,442,268,3.300,3.310,90,3.300,3.220
617,618,DKSH [S],5908,s,2.710,2.750,-0.040,-1.45,437,10,2.690,2.710,6,2.730,2.660
618,619,SERNKOU-WA [S],7180WA,s,0.440,0.405,+0.035,+8.64,402,60,0.405,0.435,742,0.440,0.405
619,620,CABNET-WA [S],0191WA,0.020,0.020,-,-,400,100,0.020,0.030,"1,000",0.020,0.020,0191WA
620,621,RANHILL [S],5272,[c]  s,0.950,0.945,+0.005,+0.53,398,521,0.950,0.965,110,0.960,0.940
621,622,EIG [S],5081,s,0.540,0.540,-,-,390,10,0.540,0.560,230,0.540,0.480
622,623,MENANG [S],1694,s,0.310,0.310,-,-,381,2,0.300,0.310,379,0.310,0.300
623,624,VERTICE-WA [S],7240WA,s,0.280,0.360,-0.080,-22.22,380,50,0.280,0.315,400,0.375,0.280
624,625,FIHB [S],8605,s,0.250,0.255,-0.005,-1.96,378,125,0.245,0.255,5,0.290,0.210
625,626,WONG [S],7050,[c]  s,0.475,0.450,+0.025,+5.56,362,"1,000",0.470,0.475,56,0.475,0.410
626,627,EDGENTA [S],1368,[c]  s,2.460,2.460,-,-,361,132,2.460,2.480,56,2.480,2.450
627,628,BDB [S],6173,s,0.345,0.360,-0.015,-4.17,350,100,0.345,0.350,250,0.360,0.330
628,629,FAVCO [S],7229,s,2.660,2.700,-0.040,-1.48,341,140,2.660,2.680,90,2.700,2.610
629,630,METFUS50 [S],0827EA,s,1.240,1.330,-0.090,-6.77,333,200,1.230,1.360,200,1.280,1.240
630,631,YLI [S],7014,s,0.220,0.220,-,-,330,100,0.190,0.220,95,0.220,0.220
631,632,MINDA [S],5166,s,0.045,0.045,-,-,311,140,0.045,0.050,"2,008",0.050,0.040
632,633,UTDPLT [S],2089,[c]  s,26.200,26.240,-0.040,-0.15,308,27,26.180,26.200,742,26.400,26.120
633,634,FREIGHT [S],7210,s,0.590,0.590,-,-,300,50,0.580,0.590,100,0.590,0.580
634,635,GOODWAY [S],7192,s,0.170,0.175,-0.005,-2.86,300,"1,940",0.170,0.180,30,0.175,0.170
635,636,HSL [S],6238,s,1.240,1.270,-0.030,-2.36,300,110,1.230,1.250,110,1.250,1.210
636,637,IQZAN [S],7183,s,0.065,0.065,-,-,300,"2,000",0.060,0.065,100,0.065,0.060
637,638,PASDEC [S],6912,s,0.305,0.290,+0.015,+5.17,300,150,0.275,0.305,123,0.305,0.300
638,639,RESINTC [S],7232,s,0.260,0.270,-0.010,-3.70,300,66,0.260,0.305,150,0.265,0.260
639,640,SERSOL-WA [S],0055WA,0.045,0.040,+0.005,+12.50,300,"2,000",0.040,0.045,137,0.045,0.045,0055WA
640,641,TADMAX [S],4022,s,0.245,0.250,-0.005,-2.00,300,170,0.245,0.250,"1,284",0.250,0.245
641,642,ZHULIAN [S],5131,s,1.380,1.380,-,-,300,127,1.380,1.450,143,1.390,1.380
642,643,MGB [S],7595,s,0.570,0.565,+0.005,+0.88,291,20,0.565,0.570,"1,029",0.575,0.570
643,644,PMBTECH [S],7172,[c]  s,3.120,3.110,+0.010,+0.32,291,194,3.120,3.190,65,3.120,3.100
644,645,SURIA [S],6521,s,1.270,1.250,+0.020,+1.60,290,14,1.250,1.260,40,1.270,1.250
645,646,STELLA [S],5006,s,0.925,0.930,-0.005,-0.54,284,16,0.925,0.975,20,0.925,0.920
646,647,DOMINAN [S],7169,[c]  s,1.250,1.250,-,-,272,8,1.240,1.250,209,1.250,1.220
647,648,CAMRES [S],7128,s,0.210,0.210,-,-,270,230,0.210,0.240,80,0.210,0.210
648,649,KWANTAS [S],6572,s,0.590,0.620,-0.030,-4.84,270,49,0.590,0.655,300,0.620,0.590
649,650,THETA [S],9075,s,0.430,0.400,+0.030,+7.50,263,50,0.390,0.430,198,0.450,0.400
650,651,EPMB [S],7773,s,0.370,0.350,+0.020,+5.71,260,150,0.320,0.370,53,0.370,0.350
651,652,AMWAY [S],6351,[c]  s,5.480,5.500,-0.020,-0.36,258,37,5.450,5.700,5,5.550,5.450
652,653,NIHSIN-WB [S],7215WB,s,0.035,0.030,+0.005,+16.67,255,81,0.030,0.035,"1,999",0.035,0.030
653,654,KPSCB [S],9121,s,0.470,0.470,-,-,254,100,0.420,0.470,3,0.470,0.470
654,655,YGL [S],0086,0.120,0.120,-,-,250,"1,000",0.125,0.140,917,0.120,0.120,0086
655,656,LBS-WB [S],5789WB,s,0.015,0.020,-0.005,-25.00,244,"1,789",0.010,0.020,"1,503",0.020,0.010
656,657,AYER [S],2305,s,5.810,6.000,-0.190,-3.17,212,108,5.810,5.900,30,5.950,5.810
657,658,VERSATL [S],4995,s,0.230,0.250,-0.020,-8.00,210,1,0.225,0.255,1,0.245,0.230
658,659,SCOMI-WB [S],7158WB,s,0.010,0.005,+0.005,+100.00,204,"115,240",0.005,0.010,"14,353",0.010,0.010
659,660,ECOWLD-WA [S],8206WA,s,0.165,0.160,+0.005,+3.13,201,300,0.150,0.165,"1,095",0.165,0.160
660,661,DNONCE-WA [S],7114WA,s,0.040,0.050,-0.010,-20.00,200,"2,250",0.035,0.050,359,0.040,0.040
661,662,ESAFE [S],0190,0.175,0.180,-0.005,-2.78,200,100,0.165,0.180,100,0.175,0.175,0190
662,663,KNUSFOR [S],5035,s,0.700,0.700,-,-,200,310,0.680,0.770,20,0.700,0.700
663,664,PICORP [S],7201,s,0.105,0.115,-0.010,-8.70,200,855,0.105,0.110,136,0.105,0.105
664,665,PTARAS [S],9598,s,2.900,2.900,-,-,200,101,2.900,3.040,20,2.900,2.900
665,666,SNTORIA-WB [S],5213WB,s,0.105,0.105,-,-,191,200,0.070,0.105,920,0.110,0.105
666,667,PERSTIM [S],5436,s,4.000,4.010,-0.010,-0.25,182,12,4.000,4.080,6,4.000,3.980
667,668,INNO [S],6262,s,0.675,0.685,-0.010,-1.46,180,20,0.675,0.700,100,0.685,0.675
668,669,UMCCA [S],2593,s,5.000,5.010,-0.010,-0.20,168,132,5.000,5.090,51,5.000,5.000
669,670,CHUAN [S],7016,s,0.310,0.350,-0.040,-11.43,165,50,0.300,0.330,106,0.330,0.310
670,671,HWATAI [S],8478,s,0.280,0.270,+0.010,+3.70,160,89,0.250,0.280,41,0.280,0.250
671,672,EUPE [S],6815,s,0.610,0.580,+0.030,+5.17,151,5,0.580,0.610,"2,199",0.610,0.570
672,673,ASIAFLE [S],7129,s,1.910,1.920,-0.010,-0.52,149,6,1.910,1.950,36,1.950,1.910
673,674,TASEK [S],4448,s,5.700,6.000,-0.300,-5.00,143,30,5.610,6.000,20,5.700,5.600
674,675,KFIMA [S],6491,s,1.540,1.520,+0.020,+1.32,140,60,1.510,1.520,230,1.540,1.540
675,676,PWROOT-WA [S],7237WA,s,0.685,0.690,-0.005,-0.72,140,100,0.650,0.685,60,0.685,0.685
676,677,AHEALTH [S],7090,[c]  s,2.300,2.340,-0.040,-1.71,130,102,2.300,2.320,30,2.330,2.280
677,678,TGL [S],9369,s,1.140,1.200,-0.060,-5.00,130,50,1.070,1.220,50,1.150,1.050
678,679,SUBUR [S],6904,s,0.485,0.485,-,-,129,57,0.485,0.570,202,0.500,0.485
679,680,MHC [S],5026,s,0.560,0.560,-,-,120,100,0.540,0.565,40,0.560,0.560
680,681,TONGHER [S],5010,s,1.990,2.000,-0.010,-0.50,120,10,1.990,2.010,75,2.010,1.990
681,682,AJI [S],2658,s,14.400,14.640,-0.240,-1.64,117,27,14.260,14.480,4,14.500,14.120
682,683,WOODLAN [S],7025,s,0.535,0.595,-0.060,-10.08,111,30,0.545,0.535,9,0.570,0.535
683,684,SIGN [S],7246,s,0.385,0.375,+0.010,+2.67,110,200,0.370,0.385,140,0.385,0.370
684,685,SOP [S],5126,s,3.200,3.260,-0.060,-1.84,110,133,3.200,3.260,6,3.260,3.200
685,686,DLADY [S],3026,s,41.800,42.540,-0.740,-1.74,105,1,41.780,41.800,3,43.840,41.700
686,687,BPPLAS [S],5100,[c]  s,1.030,1.020,+0.010,+0.98,102,8,1.030,1.050,90,1.030,1.020
687,688,OCR-WC [S],7071WC,s,0.015,0.040,-0.025,-62.50,101,"2,529",0.015,0.035,120,0.015,0.015
688,689,DKLS [S],7528,s,1.680,1.610,+0.070,+4.35,100,20,1.600,1.680,80,1.680,1.600
689,690,ENRA [S],8613,s,1.080,1.200,-0.120,-10.00,100,20,1.040,1.130,10,1.130,1.080
690,691,KEN [S],7323,s,0.520,0.530,-0.010,-1.89,100,100,0.520,0.550,240,0.520,0.520
691,692,OIB [S],5827,s,1.950,1.960,-0.010,-0.51,100,20,1.950,2.370,10,1.950,1.950
692,693,POLY [S],8117,s,0.310,0.310,-,-,100,131,0.310,0.340,50,0.310,0.310
693,694,YBS [S],0025,0.110,0.115,-0.005,-4.35,100,"1,900",0.110,0.120,600,0.110,0.110,0025
694,695,CRESNDO [S],6718,s,1.090,1.150,-0.060,-5.22,88,2,1.140,1.180,13,1.150,1.010
695,696,CSCENIC [S],7202,[c]  s,0.865,0.880,-0.015,-1.70,88,2,0.865,0.895,50,0.910,0.860
696,697,PMCORP [S],4081,s,0.120,0.115,+0.005,+4.35,80,"5,000",0.115,0.120,20,0.120,0.120
697,698,COCOLND [S],7205,s,1.860,1.850,+0.010,+0.54,76,10,1.860,1.900,40,1.860,1.850
698,699,ATAIMS [S],8176,s,1.500,1.510,-0.010,-0.66,70,33,1.350,1.500,12,1.500,1.500
699,700,SHH [S],7412,s,0.460,0.490,-0.030,-6.12,70,80,0.460,0.490,30,0.460,0.460
700,701,EITA [S],5208,[x]  s,1.390,1.390,-,-,69,21,1.350,1.390,81,1.390,1.350
701,702,OCB [S],5533,s,0.355,0.355,-,-,65,10,0.355,0.425,109,0.355,0.355
702,703,LBS-PA [S],5789PA,s,0.705,0.700,+0.005,+0.71,64,42,0.705,0.990,20,0.710,0.705
703,704,SPRITZER [S],7103,s,2.250,2.150,+0.100,+4.65,61,20,2.120,2.250,11,2.250,2.100
704,705,TSRCAP [S],5042,s,0.380,0.350,+0.030,+8.57,60,140,0.360,0.450,60,0.380,0.380
705,706,WTHORSE [S],5009,s,0.960,0.940,+0.020,+2.13,60,30,0.885,0.980,30,0.960,0.960
706,707,PANSAR-WA [S],8419WA,s,0.240,0.240,-,-,55,35,0.225,0.240,140,0.240,0.230
707,708,SNC [S],7943,s,0.310,0.350,-0.040,-11.43,55,40,0.290,0.310,45,0.310,0.290
708,709,BONIA [S],9288,s,0.830,0.830,-,-,50,50,0.770,0.820,78,0.830,0.830
709,710,KOBAY [S],6971,s,1.850,1.840,+0.010,+0.54,50,10,1.850,1.990,17,1.850,1.840
710,711,CWG [S],9423,s,0.365,0.365,-,-,47,103,0.365,0.395,120,0.365,0.365
711,712,APOLLO [S],6432,s,3.490,3.530,-0.040,-1.13,46,4,3.490,3.520,31,3.520,3.480
712,713,JADEM [S],7043,s,0.950,0.950,-,-,46,55,0.950,1.150,60,0.950,0.950
713,714,BHIC [S],8133,s,1.160,1.090,+0.070,+6.42,43,5,1.080,1.160,7,1.160,1.120
714,715,CEPCO [S],8435,s,0.815,0.710,+0.105,+14.79,43,20,0.710,0.890,500,0.815,0.750
715,716,GOPENG [S],2135,s,0.680,0.610,+0.070,+11.48,42,21,0.600,0.670,20,0.680,0.600
716,717,Y&G [S],7003,s,0.785,0.795,-0.010,-1.26,42,58,0.785,0.990,595,0.785,0.785
717,718,CHHB [S],5738,s,1.020,1.010,+0.010,+0.99,40,30,1.020,1.100,40,1.020,1.010
718,719,MBG [S],5886,s,1.340,1.340,-,-,40,"5,655",1.340,1.350,180,1.350,1.340
719,720,MHCARE [S],03005,[c],1.000,0.880,+0.120,+13.64,40,20,0.860,1.030,20,1.000,0.960
720,721,RVIEW [S],2542,s,2.750,2.750,-,-,40,50,2.740,2.850,40,2.750,2.750
721,722,ALAQAR [S],5116,s,1.360,1.360,-,-,39,211,1.360,1.380,25,1.360,1.350
722,723,ADVPKG [S],9148,s,2.130,2.000,+0.130,+6.50,30,20,2.000,2.130,10,2.130,2.000
723,724,ASIABRN [S],7722,s,0.460,0.510,-0.050,-9.80,30,100,0.420,0.460,5,0.460,0.460
724,725,SCOMNET-WA [S],0001WA,0.390,0.400,-0.010,-2.50,30,50,0.390,0.400,4,0.390,0.390,0001WA
725,726,UPA [S],7757,s,2.100,2.180,-0.080,-3.67,30,40,2.050,2.180,20,2.160,2.100
726,727,TOMYPAK-WA [S],7285WA,s,0.055,0.055,-,-,24,"1,046",0.035,0.055,"2,820",0.055,0.035
727,728,ALSREIT [S],5269,s,0.850,0.855,-0.005,-0.58,21,14,0.805,0.850,488,0.850,0.805
728,729,MESB [S],7234,s,0.300,0.285,+0.015,+5.26,20,100,0.260,0.295,123,0.305,0.295
729,730,BKAWAN [S],1899,s,15.900,15.520,+0.380,+2.45,13,1,15.400,16.140,85,16.160,15.900
730,731,BIPORT [S],5032,[c]  s,4.320,4.650,-0.330,-7.10,10,35,4.320,4.600,25,4.320,4.320
731,732,CAELY [S],7154,s,0.385,0.350,+0.035,+10.00,10,100,0.345,0.385,80,0.385,0.385
732,733,LATITUD [S],7006,[c]  s,2.770,2.720,+0.050,+1.84,10,84,2.600,2.750,50,2.770,2.770
733,734,MAGNA-WB [S],7617WB,s,0.070,0.065,+0.005,+7.69,10,500,0.050,0.070,290,0.070,0.070
734,735,PNEPCB-WA [S],6637WA,s,0.100,0.075,+0.025,+33.33,10,66,0.050,0.100,25,0.100,0.100
735,736,LIONPSIM [S],8486,s,0.370,0.390,-0.020,-5.13,9,41,0.370,0.435,10,0.370,0.370
736,737,SMISCOR [S],7132,s,0.350,0.355,-0.005,-1.41,7,1,0.345,0.350,129,0.350,0.290
737,738,PINEAPP [S],0006,0.290,0.240,+0.050,+20.83,5,30,0.225,0.290,37,0.290,0.240,0006
738,739,ASTINO [S],7162,s,0.670,0.645,+0.025,+3.88,3,50,0.630,0.665,58,0.680,0.670
739,740,AAX-WA [S],5238WA,s,0.005,0.005,-,-,1,-,-,0.005,"312,865",0.005,0.005
740,741,PASDEC-WA [S],6912WA,s,0.045,0.035,+0.010,+28.57,1,500,0.035,0.045,922,0.045,0.045
741,742,SUNSURIA [S],3743,s,0.545,0.520,+0.025,+4.81,1,50,0.505,0.545,554,0.545,0.545
742,743,ABLEGRP [S],7086,s,-,0.065,-,-,-,"3,302",0.055,0.070,178,-,-
743,744,ACME [S],7131,s,-,0.235,-,-,-,47,0.230,0.260,100,-,-
744,745,ACME-WA [S],7131WA,s,-,0.060,-,-,-,100,0.055,0.100,100,-,-
745,746,AFUJIYA [S],5198,s,-,0.435,-,-,-,50,0.385,0.440,106,-,-
746,747,AIM [S],0122,-,0.270,-,-,-,200,0.190,0.270,389,-,-,0122
747,748,AJIYA [S],7609,s,-,0.390,-,-,-,2,0.385,0.400,324,-,-
748,749,AJIYA-WA [S],7609WA,s,-,0.030,-,-,-,310,0.025,0.030,670,-,-
749,750,AMLEX [S],03011,-,0.215,-,-,-,-,-,-,-,-,-,03011
750,751,ANALABS [S],7083,[x]  s,-,1.090,-,-,-,100,1.000,1.100,60,-,-
751,752,ANZO-WB [S],9342WB,s,-,0.015,-,-,-,"13,837",0.015,0.020,"2,279",-,-
752,753,ANZO-WC [S],9342WC,s,-,0.005,-,-,-,-,-,0.005,"241,519",-,-
753,754,ARK-WB [S],7007WB,s,-,0.025,-,-,-,444,0.005,-,-,-,-
754,755,ASIAPAC-WB [S],4057WB,s,-,0.035,-,-,-,"1,798",0.030,0.035,150,-,-
755,756,ASIAPLY-PA [S],0105PA,-,0.030,-,-,-,"4,000",0.025,0.030,"7,548",-,-,0105PA
756,757,ASIAPLY-WB [S],0105WB,-,0.015,-,-,-,"16,421",0.010,0.015,"6,564",-,-,0105WB
757,758,ATTA [S],7099,S s,-,0.445,-,-,-,-,-,-,-,-,-
758,759,ATTA-WB [S],7099WB,S s,-,0.060,-,-,-,-,-,-,-,-,-
759,760,ATTA-WC [S],7099WC,S s,-,0.070,-,-,-,-,-,-,-,-,-
760,761,AZRB-WA [S],7078WA,s,-,0.110,-,-,-,450,0.110,0.140,50,-,-
761,762,BABA [S],03012,-,0.170,-,-,-,-,-,-,-,-,-,03012
762,763,BIG [S],7005,s,-,0.330,-,-,-,100,0.305,0.345,161,-,-
763,764,BLDPLNT [S],5069,s,-,5.500,-,-,-,11,4.800,6.260,66,-,-
764,765,BTM-WB [S],7188WB,s,-,0.060,-,-,-,100,0.050,0.065,200,-,-
765,766,CABNET [S],0191,-,0.190,-,-,-,100,0.190,0.205,70,-,-,0191
766,767,CFM [S],8044,s,-,1.100,-,-,-,174,1.100,-,-,-,-
767,768,CGB [S],8052,s,-,0.460,-,-,-,30,0.410,0.460,40,-,-
768,769,CHEETAH [S],7209,s,-,0.300,-,-,-,150,0.250,-,-,-,-
769,770,CHHB-WB [S],5738WB,s,-,0.160,-,-,-,50,0.105,0.160,960,-,-
770,771,CLOUD [S],03001,-,0.095,-,-,-,-,-,0.100,"49,000",-,-,03001
771,772,CME [S],7018,s,-,0.025,-,-,-,"54,100",0.025,0.030,"16,406",-,-
772,773,CME-WA [S],7018WA,s,-,0.030,-,-,-,"2,200",0.030,-,-,-,-
773,774,CONNECT-WA [S],0102WA,-,0.055,-,-,-,500,0.010,0.055,"1,400",-,-,0102WA
774,775,CRG [S],03016,[c],-,0.065,-,-,-,"5,000",0.065,0.070,180,-,-
775,776,CVIEW [S],5049,s,-,1.420,-,-,-,20,1.210,1.380,232,-,-
776,777,CYL [S],7157,s,-,0.350,-,-,-,70,0.295,0.350,34,-,-
777,778,CYMAO [S],5082,s,-,0.285,-,-,-,100,0.240,0.285,185,-,-
778,779,DBE-WB [S],7179WB,s,-,0.010,-,-,-,"234,444",0.005,0.010,"142,919",-,-
779,780,DIN040000223 [S],0400GA,s,-,102.000,-,-,-,10,102.200,102.500,1,-,-
780,781,DIN042300721 [S],0400GC,s,-,102.400,-,-,-,1,101.500,102.500,1,-,-
781,782,DIN045801028 [S],0400GB,s,-,105.000,-,-,-,1,104.800,106.800,1,-,-
782,783,DOMINAN-WA [S],7169WA,s,-,0.035,-,-,-,"2,450",0.005,0.030,"1,730",-,-
783,784,DWL-PA [S],7165PA,s,-,0.105,-,-,-,150,0.080,0.150,110,-,-
784,785,ENGKAH [S],7149,s,-,0.950,-,-,-,30,0.825,0.920,50,-,-
785,786,EUROSP [S],7094,s,-,0.360,-,-,-,150,0.320,0.435,9,-,-
786,787,FAREAST [S],5029,s,-,2.750,-,-,-,20,2.350,2.740,50,-,-
787,788,FBBHD [S],03026,-,0.320,-,-,-,-,-,-,-,-,-,03026
788,789,FIAMMA [S],6939,[c]  s,-,0.490,-,-,-,50,0.475,0.525,88,-,-
789,790,FIHB-PA [S],8605PA,s,-,0.035,-,-,-,550,0.030,0.050,500,-,-
790,791,FIHB-PB [S],8605PB,s,-,0.075,-,-,-,"1,500",0.040,-,-,-,-
791,792,GLOMAC [S],5020,s,-,0.345,-,-,-,44,0.335,0.340,500,-,-
792,793,GLOTEC-WA [S],5220WA,s,-,0.045,-,-,-,"1,300",0.045,0.055,"1,112",-,-
793,794,GMUTUAL [S],9962,s,-,0.260,-,-,-,200,0.240,0.270,560,-,-
794,795,GPHAROS [S],5649,s,-,0.190,-,-,-,100,0.190,0.205,47,-,-
795,796,GREENYB [S],0136,s,-,0.130,-,-,-,"2,500",0.115,0.130,"1,442",-,-
796,797,HARBOUR-WC [S],2062WC,s,-,0.020,-,-,-,600,0.010,0.050,"1,037",-,-
797,798,HARNLEN-WB [S],7501WB,s,-,0.080,-,-,-,500,0.080,0.145,45,-,-
798,799,HIAPTEK-LA [S],5072LA,s,-,0.200,-,-,-,27,0.190,0.250,400,-,-
799,800,HIGHTEC [S],7033,s,-,1.000,-,-,-,37,1.050,1.200,9,-,-
800,801,HIL-WB [S],8443WB,s,-,0.180,-,-,-,115,0.105,0.180,18,-,-
801,802,HOKHENG [S],5165,s,-,0.515,-,-,-,10,0.480,0.550,9,-,-
802,803,HOMERIZ-WA [S],5160WA,s,-,0.005,-,-,-,-,-,0.005,"32,005",-,-
803,804,HOOVER [S],7010,s,-,0.355,-,-,-,92,0.355,0.480,80,-,-
804,805,HSSEB-WA [S],0185WA,s,-,0.150,-,-,-,200,0.125,0.155,100,-,-
805,806,HUBLINE-WB [S],7013WB,s,-,0.005,-,-,-,-,-,0.005,"24,056",-,-
806,807,HUBLINE-WC [S],7013WC,s,-,0.025,-,-,-,"15,901",0.015,0.025,"31,306",-,-
807,808,HWGB-WD [S],9601WD,s,-,0.035,-,-,-,"5,050",0.015,0.030,"1,510",-,-
808,809,IBRACO [S],5084,s,-,0.555,-,-,-,300,0.555,0.665,10,-,-
809,810,IDMENSN [S],0174,-,0.025,-,-,-,"4,141",0.025,0.030,"12,775",-,-,0174
810,811,IDMENSN-WA [S],0174WA,-,0.005,-,-,-,-,-,0.005,"30,565",-,-,0174WA
811,812,IHS046000824 [S],0401GA,s,-,99.500,-,-,-,1,99.000,-,-,-,-
812,813,INIX-WA [S],0094WA,-,0.005,-,-,-,-,-,0.005,"14,564",-,-,0094WA
813,814,IPMUDA [S],5673,s,-,0.310,-,-,-,201,0.290,0.330,50,-,-
814,815,IREKA [S],8834,s,-,0.415,-,-,-,50,0.350,0.400,300,-,-
815,816,ITRONIC [S],9393,s,-,0.085,-,-,-,"1,300",0.080,0.100,348,-,-
816,817,IVORY [S],5175,s,-,0.155,-,-,-,301,0.145,0.155,300,-,-
817,818,JAG-WB [S],0024WB,-,0.005,-,-,-,-,-,0.005,"84,979",-,-,0024WB
818,819,JETSON [S],9083,s,-,0.135,-,-,-,500,0.115,0.130,200,-,-
819,820,JIANKUN-WA [S],8923WA,s,-,0.075,-,-,-,"3,000",0.055,0.075,500,-,-
820,821,JMEDU [S],03003,[c],-,0.535,-,-,-,-,-,-,-,-,-
821,822,KEINHIN [S],7199,s,-,0.445,-,-,-,22,0.405,0.495,100,-,-
822,823,KERJAYA-WB [S],7161WB,s,-,0.205,-,-,-,800,0.160,0.205,100,-,-
